,sentimen,tweet
98,positif,orang baik jelas islamnya baju putih beberapa penghargaan dianugerahkan kepadanya menjadi bukti bahwa jokowi adalah sosok pemimpin diakui integritasnya
99,positif,bendahidup baik jelas islamnya baju putih beberapa penghargaan dianugerahkan kepadanya menjadi bukti bahwa jokowi adalah lembaga pemimpin diakui integritasnya
100,negatif,he he he sok bijak nih antek orba pikirkan letjen pecatan bilang biang kerok ekonomi indonesia adalah presiden sebelum jokowi ada jenderal sby gimana demokrat tidak beralih dukungan ke jokowi coba
101,negatif,he he he sok bijak nih antek orba pikirkan letjen pecatan bilang asli kerok ekonomi indonesia adalah presiden berasal jokowi ada jenderal sby gimana demokrat belum beralih dorongan ke jokowi anju
102,netral,presiden jokowi dan raja salman sepakat tingkatkan kerja sama ekonomi via metrobali
103,netral,presiden jokowi dan raja salman sehati tingkatkan kerja sama ekonomi via metrobali
104,netral,aku kasih taubeberapa penghargaan dianugerahkan kepadanya menjadi bukti bahwa jokowi adalah sosok pemimpin diakui integritasnya orang baik jelas islamnya baju putih
105,netral,aku kasih taubeberapa penghargaan dianugerahkan kepadanya berbuah bukti bahwa jokowi adalah lembaga pemimpin diakui integritasnya orang baik jelas islamnya baju beruban
106,netral,presiden jokowi dan raja salman sepakat tingkatkan kerja sama ekonomi via bali netizen
107,netral,presiden jokowi dan beraja salman sehati tingkatkan kerja kayak ekonomi via bali netizen
108,positif,dalam penjelasannya kyai khmaruf amin mau menjadi cawapres karna jokowi punya komitmen terkait ekonomi umat dengan apa disebutnya sebagai arus baru ekonomi indonesia membangun ekonomi dri bawah orang baik jelas islamnya baju putih
109,positif,dalam penjelasannya kyai khmaruf amenamon mau berbuah cawapres karna jokowi ada komitmen terkait ekonomi umat dengan apa disebutnya kayak arus baru ekonomi indonesia berkembang ekonomi dri bawah orang baik jelas islamnya baju putih
110,positif,orang baik jelas islamnya baju putih menterinya aja berprestasi apalagi pemimpinnya bisa dikatakan era jokowi lah dimana sejumlah menterinya banyak meraih penghargaan
111,positif,orang baik jelas islamnya baju beruban menterinya aja berprestasi apalagi pemimpinnya berupaya dikatakan era jokowi lah dimana sejumlah menterinya banyak meraih kelegaan
112,negatif,b jokowi naikkan tax ratio drastis bisa guncang ekonomi
113,negatif,b jokowi naikkan tax ratio drastis bisa guncang ekonomi
114,positif,lalu berbagai pencapaian telah berhasil tercapai khususnya pertumbuhan ekonomi di era pemerintahan jokowi jk sangat jauh meningkat orang baik jelas islamnya baju putih
115,positif,lalu berbagai kejayaan telah berhasil berjaya khususnya pertumbuhan ekonomi atas era pemerintahan jokowi jk sangat jauh bangkit orang baik jelas islamnya baju putih
116,negatif,disitu bapak jokowi hanya membahas game online bagi pemain profesional bahkan sekarang udah ada piala presiden mobile legend dan hadiahnya sangat besar jika kita mau bersaing didunia online seperti game ekonomi kita juga akan naik
117,negatif,disitu bapak jokowi cuma membahas game online bagi pemain kemahiran bahkan ada udah ada piala presiden mobile legend dan hadiahnya sangat besar jika kita beranganangan berdamping didunia online kayak game ekonomi america juga akan bangun
118,positif,jokowi khmaruf amin april pilih jokowikma pada ngerti kan kalo bapak jokowi belajar ngaji sejak sebelum jadi pejabat murni mendalami agama tanpa unsur pencitraan orang baik jelas islamnya baju putih
119,positif,jokowi khmaruf amin april pilih jokowikma atas ngerti kan kalo bapak jokowi belajar ngaji sejak berasal begini pejabat murni mendalami agama tanpa unsur pencitraan orang baik jelas islamnya baju beruban
120,positif,from sandiuno repostmediaapp prabowosandi tidak ingin gagal fokus kita ingin pembangunan besarbesaran ini berdampak langsung pada ekonomi dan kesejahteraan
121,positif,from sandiuno repostmediaapp prabowosandi belum beranganangan gagal fokus kita ingin kelembagaan besarbesaran ini berdampak betulbetul atas ekonomi dan kesejahteraan
122,negatif,alasan prabowosandi tak terima gaji jika menang negara sedang susah
123,negatif,alasan prabowosandi tak berlaku gaji jika larang negara cuma susah
124,negatif,he he he pikirkan letjen pecatan bilang biang kerok ekonomi presiden sebelum jokowi ada jenderal sby ada jenderal soeharto bintang nya sampe lima dungu
125,negatif,he he he pikirkan letjen pecatan bilang asli kerok ekonomi presiden berasal jokowi ada jenderal sby ada jenderal soeharto bintang nya sampe lima dungu
126,netral,jokowi menambahkan capaian pertumbuhan itu perlu disyukuri karena indonesia tetap tumbuh meski kondisi ekonomi global sedang bergejolak kyai maruf
127,netral,jokowi bertambah capaian kemajuan itu perlu disyukuri karena indonesia tetap tumbuh meski kondisi ekonomi dunia sedang bergejolak kyai maruf
128,positif,janji tak ambil gaji jika menang pilpres prabowo bukti kita tulus
129,positif,janji tak ambil gaji jika larang pilpres prabowo bukti kita cupar
130,negatif,terus lah bersuara minta keadilan suara begitu berarti kpuid kerja benarjangan makan gaji buta jangan curang
131,negatif,betulbetul lah bersuara minta keadilan suara begitu berarti kpuid kerja benarjangan makan gaji buta jangan curang
132,negatif,jelas jokowi lah prabowo dan sandi pecicilan selalu pesimis tanpa jalan keluar jelas ekonomi makro dan mikro saja tak tau
133,negatif,jelas jokowi lah prabowo dan sandi pecicilan jemah pesimis tanpa jalan keluar jelas ekonomi makro dan mikro baru tak tau
134,positif,aku kasih taumenterinya aja berprestasi apalagi pemimpinnya bisa dikatakan era jokowi lah dimana sejumlah menterinya banyak meraih penghargaan orang baik jelas islamnya baju putih
135,positif,maine gemar taumenterinya aja berprestasi apalagi pemimpinnya berupaya dikatakan era jokowi lah dimana sejumlah menterinya banyak berlaku kelegaan bendahidup baik jelas islamnya baju putih
136,netral,berita terbaru prabowo saya tak ingin naikkan pajak persen dalam setahun telah ada di
137,netral,berita terbaru prabowo saya belum ingin naikkan bergadai persen dalam setahun telah ada atas
138,positif,jokowi menjelaskan pembangunan dan merevitalisasi pasar rakyat ini menjadi dasar utama dalam pembangunan ekonomi berbasis kerakyatan dengan demikian kekuatan ekonomi indonesia bisa lebih stabil kyai maruf
139,positif,jokowi menjelaskan kelembagaan dan merevitalisasi pasar awam ini menjadi dasar primer dalam pembangunan ekonomi berbasis kerakyatan dengan bahwasanya dayausaha ekonomi indonesia berupaya lebih stabil kyai maruf
140,netral,aku kasih tauberbagai pencapaian telah berhasil tercapai khususnya pertumbuhan ekonomi di era pemerintahan jokowi jk sangat jauh meningkat orang baik jelas islamnya baju putih
141,netral,maine kasih tauberbagai kejayaan pernah berhasil tercapai khususnya kemajuan ekonomi di era pemerintahan jokowi jk sangat jauh bangkit orang baik jelas islamnya baju beruban
142,positif,orang baik jelas islamnya baju putih presiden jokowi bangunkan spbu pertama setelag tahun di kabupaten puncak jaya papua dengan harga semula ribuliter menjadi liter
143,positif,bendahidup baik jelas islamnya baju putih presiden jokowi bangunkan spbu mulamula setelag golongan atas daerah balung berhasil papua dengan harga kembali ribuliter menjadi liter
144,positif,bersatu menangkan jokowi orang baik jelas islamnya baju putih brbagai upaya telah dilakukan untuk membangun indonesia bebas korupsi dari pelayanan berbasis elektronik sistem pengaduan masyarakat penghargaan bg masyarakat mengungkap korupsi
145,positif,bersatu menangkan jokowi bendahidup baik jelas islamnya baju putih brbagai upaya pernah dilakukan untuk berkembang indonesia bebas korupsi dari bakti berbasis elektronik sistem dakwaan awam kelegaan bg masyarakat mengungkap korupsi
146,negatif,leres pakdhe salah satu aspek penting dari faktor ekonomi bertumbuh adalah stabilitas politik dalam negeri ditunjukkan dengan adanya kepastian dan keadilan dalam penegakan hukum jadi pripun kabare pakde jokowi
147,negatif,leres pakdhe salah satu aspek penting dari faktor ekonomi bertumbuh adalah stabilitas politik dalam negeri ditunjukkan dengan adanya kepastian dan keadilan dalam penegakan hukum begini pripun kabare pakde jokowi
148,negatif,demikian bapak prabowo walau pendidikannya tentara tapi ayahnya seorang ekonom legendaris di indonesia ya kali deh tidak ngerti makro dan mikro makro dan mikro pelajaran semester di fakultas ekonomi koreksi saya ketauan jae baru belajar ekonomi kacaw
149,negatif,bahwasanya bapak prabowo walau pendidikannya angkatandaratamerikaserikat tapi ayahnya seorang ekonom legendaris atas indonesia ya kali deh tidak ngerti makro dan mikro makro dan mikro kajian semester atas fakultas ekonomi koreksi saya ketauan jae baru belajar ekonomi kacaw
150,netral,jangan terlalu bangga dengan jalan jika ekonomi jatuh terus nengara menag buka melihat jalanya megah seharusnya hasil bumi laut melimpah ruah terlebih dahulu baru idonesia maju menjadi pemenang
151,netral,jangan terlalu bangga dengan jalan jika ekonomi berjatuhan betulbetul nengara menag buka ingat jalanya agung harus hasil bumi laut melimpah ruah terlebih dahulu baru idonesia kedepan menjadi pemenang
152,netral,orang baik jelas islamnya baju putih jokowi bangunkan spbu pertama setelag tahun di kabupaten puncak jaya papua dengan harga semula ribuliter menjadi liter
153,netral,orang baik jelas islamnya baju beruban jokowi bangunkan spbu mulamula setelag tahun atas daerah balung berhasil guineabaru dengan harga semula ribuliter berbuah liter
154,netral,katanya jas itu harga mahal dan pakaian orang eropa dan amerika
155,netral,katanya jas itu harga mahal dan baju bendahidup eropa dan amerika
156,netral,prabowo janjikan harga karet dan kelapa sawit buat senyum petani
157,netral,prabowo janjikan harga getah dan kelapa sawit buat senyum petani
158,netral,orang ini sangat dihargai oleh raja arab saudi dia pemimpin ku
159,netral,bendahidup ini sangat dihargai dengan beraja arab saudi dia ketua ku
160,negatif,mencontoh ekonomi china bukannya sujud seperti sekarang ini
161,negatif,ikut ekonomi cathay bukannya sujud seperti ada ini
162,positif,asal tahu saja gaesberbagai pencapaian telah berhasil tercapai khususnya pertumbuhan ekonomi di era pemerintahan jokowi jk sangat jauh meningkat orang baik jelas islamnya baju putih
163,positif,asal tahu baru gaesberbagai kejayaan pernah berhasil berjaya khususnya kemajuan ekonomi di era pemerintahan jokowi jk sangat bukanmain bangkit orang baik jelas islamnya baju putih
164,netral,orang baik jelas islamnya baju putih kepercayaan hanya diberikan pada mereka berpengalaman seorang jokowi memiliki wakil berpengalaman dibidang ekonomi
165,netral,orang baik jelas islamnya baju beruban kepercayaan cuma diberikan atas mereka berpengalaman individu jokowi memiliki wakil berpengalaman dibidang ekonomi
166,negatif,berapa sih gaji presiden dan wakil presiden berapa sih tunjangannya kalau kalian mengatakan tidak akan ambil sepeserpun gaji dan tunjangan baru hebat itu baru jualan kalau hanya gaji itu namanya jualan basi
167,negatif,berapa sih gaji daftarpresidenamerikaserikat dan wakil daftarpresidenamerikaserikat berapa sih tunjangannya kalau kalian mengatakan belum akan ambil sepeserpun gaji dan tunjangan baru berkuasa itu baru jualan kalau hanya gaji itu namanya jualan basi
168,positif,mungkin bapak prabowo mengharap ketulusan karyawan untuk tidak menuntut gaji
169,positif,mungkin bapak prabowo firasat ketulusan karyawan untuk belum menuntut gaji
170,netral,jamu jokowi raja salman sajikan nasi mandhi warta ekonomi
171,netral,herba jokowi beraja salman sajikan nasi mandhi warta ekonomi
172,positif,orang baik jelas islamnya baju putih dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan namun di zaman bapak jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan
173,positif,bendahidup baik jelas islamnya baju putih dulu sekadar ada kemajuan ekonomi kosong pemerataan dulu atas zaman bapak jokowi bukan cuma pertumbuhan ekonomi tapi agak pemerataan kelembagaan
174,negatif,kami moslem kami menghormati dan menghargai umat agama laen kami cinta damai karena islam mengajarkan untuk berbuat baik kepada semua manusia tanpa terkecuali dan kamipun pendukung bhineka tunggal ika keji dan brutal
175,negatif,kami moslem kami menghormati dan menghargai kalangan agama laen kami cinta damai karena islam mengajarkan untuk beraksi baik kepada semua bendahidup tanpa kecuali dan kamipun pendukung bhineka tunggal ika bengis dan brutal
176,positif,prabowo sandiuno tidak akan ambil gaji serupiah pun jika terpilih sebagai presiden republik indonesia benar kata alm gus dur orang paling ihlas untuk indonesia adalah prabowo sandi okbanget sandi tak terbendung
177,positif,prabowo sandiuno belum akan ambil gaji serupiah bahkan jika terpilih sebagai daftarpresidenamerikaserikat bangsa indonesia benar bercakap alm gus dur bendahidup paling ihlas untuk indonesia adalah prabowo sandi okbanget sandi belum terbendung
